NO.,Time,Value
1,00:00:00.000,120.3V
2,00:00:00.453,120.3V
3,00:00:00.890,120.3V
4,00:00:01.344,120.3V
5,00:00:01.781,120.3V
6,00:00:02.219,120.3V
7,00:00:02.656,120.3V
8,00:00:03.094,120.3V
9,00:00:03.547,120.3V
10,00:00:03.984,120.3V
11,00:00:04.422,120.3V
12,00:00:04.906,120.3V
13,00:00:05.359,120.3V
14,00:00:05.797,120.3V
15,00:00:06.234,120.4V
16,00:00:06.672,120.4V
17,00:00:07.125,120.3V
18,00:00:07.562,120.4V
19,00:00:08.047,120.3V
20,00:00:08.500,120.4V
21,00:00:08.937,120.4V
22,00:00:09.390,120.4V
23,00:00:09.828,120.4V
24,00:00:10.265,120.4V
25,00:00:10.719,120.3V
26,00:00:11.203,120.3V
27,00:00:11.656,120.3V
28,00:00:12.078,120.3V
29,00:00:12.531,120.3V
30,00:00:12.969,120.3V
31,00:00:13.406,120.3V
32,00:00:13.844,120.4V
33,00:00:14.297,120.4V
34,00:00:14.734,120.4V
35,00:00:15.172,120.4V
36,00:00:15.625,120.3V
37,00:00:16.094,120.3V
38,00:00:16.531,120.4V
39,00:00:16.984,120.4V
40,00:00:17.422,120.4V
41,00:00:17.859,120.4V
42,00:00:18.297,120.4V
43,00:00:18.734,120.5V
44,00:00:19.187,120.4V
45,00:00:19.625,120.4V
46,00:00:20.062,120.4V
47,00:00:20.500,120.4V
48,00:00:20.953,120.4V
49,00:00:21.390,120.4V
50,00:00:21.828,120.4V
51,00:00:22.265,120.4V
52,00:00:22.750,120.3V
53,00:00:23.187,120.3V
54,00:00:23.640,120.3V
55,00:00:24.078,120.3V
56,00:00:24.515,120.3V
57,00:00:24.969,120.3V
58,00:00:25.406,120.3V
59,00:00:25.890,120.3V
60,00:00:26.344,120.3V
61,00:00:26.781,120.3V
62,00:00:27.219,120.3V
63,00:00:27.656,120.3V
64,00:00:28.109,120.3V
65,00:00:28.547,120.3V
66,00:00:28.984,120.4V
67,00:00:29.437,120.5V
68,00:00:29.875,120.5V
69,00:00:30.312,120.5V
70,00:00:30.797,120.5V
71,00:00:31.250,120.5V
72,00:00:31.687,120.4V
73,00:00:32.125,120.4V
74,00:00:32.562,120.4V
75,00:00:33.015,120.4V
76,00:00:33.453,120.5V
77,00:00:33.890,120.5V
78,00:00:34.344,120.4V
79,00:00:34.781,120.4V
80,00:00:35.219,120.4V
81,00:00:35.687,120.4V
82,00:00:36.140,120.4V
83,00:00:36.578,120.4V
84,00:00:37.031,120.4V
85,00:00:37.469,120.4V
86,00:00:37.906,120.4V
87,00:00:38.359,120.4V
88,00:00:38.844,120.4V
89,00:00:39.281,120.4V
90,00:00:39.734,120.4V
91,00:00:40.172,120.4V
92,00:00:40.609,120.3V
93,00:00:41.062,120.4V
94,00:00:41.500,120.4V
95,00:00:41.937,120.4V
96,00:00:42.375,120.4V
97,00:00:42.812,120.4V
98,00:00:43.265,120.4V
99,00:00:43.734,120.4V
100,00:00:44.187,120.4V
101,00:00:44.640,120.3V
102,00:00:45.078,120.3V
103,00:00:45.515,120.3V
104,00:00:45.953,120.4V
105,00:00:46.406,120.4V
106,00:00:46.844,120.3V
107,00:00:47.281,120.3V
108,00:00:47.719,120.3V
109,00:00:48.156,120.3V
110,00:00:48.640,120.4V
111,00:00:49.078,120.3V
112,00:00:49.531,120.3V
113,00:00:49.969,120.3V
114,00:00:50.406,120.4V
115,00:00:50.859,120.4V
116,00:00:51.297,120.4V
117,00:00:51.781,120.4V
118,00:00:52.234,120.4V
119,00:00:52.672,120.3V
120,00:00:53.109,120.4V
121,00:00:53.547,120.4V
122,00:00:53.984,120.4V
123,00:00:54.437,120.4V
124,00:00:54.875,120.4V
125,00:00:55.312,120.4V
126,00:00:55.765,120.4V
127,00:00:56.203,120.4V
128,00:00:56.687,120.5V
129,00:00:57.125,120.4V
130,00:00:57.578,120.4V
131,00:00:58.015,120.3V
132,00:00:58.453,120.4V
133,00:00:58.890,120.4V
134,00:00:59.344,120.4V
135,00:00:59.781,120.4V
136,00:01:00.234,120.3V
137,00:01:00.672,120.1V
138,00:01:01.125,119.9V
139,00:01:01.594,120V
140,00:01:02.031,120.1V
141,00:01:02.469,120.2V
142,00:01:02.922,120.3V
143,00:01:03.359,120.4V
144,00:01:03.797,120.5V
145,00:01:04.234,120.5V
146,00:01:04.687,120.3V
147,00:01:05.125,120.2V
148,00:01:05.562,120.1V
149,00:01:06.015,120V
150,00:01:06.484,120V
151,00:01:06.922,120.1V
152,00:01:07.375,120.1V
153,00:01:07.828,120.2V
154,00:01:08.265,120.3V
155,00:01:08.703,120.4V
156,00:01:09.140,120.5V
157,00:01:09.625,120.6V
158,00:01:10.062,120.5V
159,00:01:10.515,120.6V
160,00:01:10.953,120.5V
161,00:01:11.406,120.5V
162,00:01:11.844,120.4V
163,00:01:12.281,120.4V
164,00:01:12.719,120.4V
165,00:01:13.172,120.4V
166,00:01:13.609,120.5V
167,00:01:14.047,120.6V
168,00:01:14.531,120.6V
169,00:01:14.969,120.6V
170,00:01:15.406,120.6V
171,00:01:15.859,120.5V
172,00:01:16.312,120.5V
173,00:01:16.750,120.5V
174,00:01:17.187,120.3V
175,00:01:17.687,120.4V
176,00:01:18.125,120.4V
177,00:01:18.562,120.5V
178,00:01:19.000,120.5V
179,00:01:19.453,120.5V
180,00:01:19.890,120.5V
181,00:01:20.328,120.6V
182,00:01:20.765,120.6V
183,00:01:21.203,120.6V
184,00:01:21.656,120.5V
185,00:01:22.094,120.6V
186,00:01:22.578,120.5V
187,00:01:23.031,120.5V
188,00:01:23.469,120.5V
189,00:01:23.906,120.5V
190,00:01:24.344,120.5V
191,00:01:24.781,120.5V
192,00:01:25.219,120.5V
193,00:01:25.656,120.6V
194,00:01:26.094,120.5V
195,00:01:26.547,120.5V
196,00:01:27.000,120.5V
197,00:01:27.484,120.6V
198,00:01:27.922,120.5V
199,00:01:28.359,120.5V
200,00:01:28.797,120.5V
201,00:01:29.234,120.5V
202,00:01:29.672,120.5V
203,00:01:30.109,120.5V
204,00:01:30.547,120.6V
205,00:01:30.984,120.6V
206,00:01:31.422,120.6V
207,00:01:31.875,120.6V
208,00:01:32.312,120.6V
209,00:01:32.750,120.6V
210,00:01:33.187,120.6V
211,00:01:33.625,120.6V
212,00:01:34.062,120.6V
213,00:01:34.500,120.6V
214,00:01:34.937,120.6V
215,00:01:35.375,120.6V
216,00:01:35.812,120.6V
217,00:01:36.265,120.6V
218,00:01:36.703,120.6V
219,00:01:37.140,120.6V
220,00:01:37.625,120.6V
221,00:01:38.078,120.6V
222,00:01:38.515,120.6V
223,00:01:38.953,120.6V
224,00:01:39.390,120.6V
225,00:01:39.844,120.6V
226,00:01:40.281,120.6V
227,00:01:40.719,120.7V
228,00:01:41.172,120.7V
229,00:01:41.609,120.7V
230,00:01:42.062,120.7V
231,00:01:42.515,120.6V
232,00:01:42.969,120.6V
233,00:01:43.406,120.6V
234,00:01:43.859,120.6V
235,00:01:44.297,120.6V
236,00:01:44.734,120.7V
237,00:01:45.172,120.7V
238,00:01:45.625,120.7V
239,00:01:46.078,120.6V
240,00:01:46.515,120.6V
241,00:01:46.937,120.6V
242,00:01:47.422,120.6V
243,00:01:47.875,120.6V
244,00:01:48.312,120.6V
245,00:01:48.765,124.4V
246,00:01:49.203,124.4V
247,00:01:49.640,124.3V
248,00:01:50.078,124.3V
249,00:01:50.515,124.3V
250,00:01:50.953,124.3V
251,00:01:51.390,124.3V
252,00:01:51.844,124.3V
253,00:01:52.312,124.2V
254,00:01:52.765,124.2V
255,00:01:53.203,124.2V
256,00:01:53.640,124.2V
257,00:01:54.078,124.2V
258,00:01:54.531,124.2V
259,00:01:54.969,124.1V
260,00:01:55.406,124V
261,00:01:55.844,124V
262,00:01:56.281,124V
263,00:01:56.719,124.1V
264,00:01:57.219,124V
265,00:01:57.656,124V
266,00:01:58.094,124V
267,00:01:58.531,124V
268,00:01:58.984,124V
269,00:01:59.422,124.1V
270,00:01:59.859,124.1V
271,00:02:00.297,124.1V
272,00:02:00.734,124.1V
273,00:02:01.187,124.1V
274,00:02:01.625,124.1V
275,00:02:02.062,124V
276,00:02:02.500,123.9V
277,00:02:02.937,123.9V
278,00:02:03.375,124V
279,00:02:03.859,124.1V
280,00:02:04.312,124.1V
281,00:02:04.750,124.1V
282,00:02:05.187,124V
283,00:02:05.640,124V
284,00:02:06.078,124V
285,00:02:06.515,124.1V
286,00:02:06.953,124.2V
287,00:02:07.390,124.2V
288,00:02:07.828,124.2V
289,00:02:08.281,124.2V
290,00:02:08.765,124.1V
291,00:02:09.203,124.2V
292,00:02:09.640,124.2V
293,00:02:10.078,124.1V
294,00:02:10.515,124.1V
295,00:02:10.953,124.1V
296,00:02:11.406,124.1V
297,00:02:11.844,124.1V
298,00:02:12.297,124V
299,00:02:12.734,124V
300,00:02:13.172,124V
301,00:02:13.656,124.1V
302,00:02:14.109,124.1V
303,00:02:14.547,124.1V
304,00:02:15.000,124V
